run,case_id,family,version,arm,original_task_passed,run_status,root_report_accepted,root_first_finish_accepted,root_finish_requests,root_finish_rejections,root_content_rejections,root_control_rejections,expert_finish_rejections,root_text_only_model_responses,first_root_rejection_after_model_call,total_model_calls,following_root_rejection_model_calls,total_recorded_model_cost_cny,following_root_rejection_cost_cny,following_root_rejection_input_tokens,following_root_rejection_output_tokens,following_root_rejection_model_latency_seconds,total_run_latency_seconds
RL-01-0-v6_single,RL-01-0,long_delay,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0465504,0,0,0,0,15.953
RL-01-1-v5_coordinator,RL-01-1,long_delay,v5,coordinator,True,completed,True,False,2,1,0,1,0,0,7,8,1,0.1049712,0.0224,10928,512,3.812,30.047
RL-01-1-v5_on_demand,RL-01-1,long_delay,v5,on_demand,True,completed,True,False,2,1,1,0,0,0,4,6,2,0.0828752,0.0358672,19477,490,6.813,19.703
RL-01-1-v5_single,RL-01-1,long_delay,v5,single,True,completed,True,False,3,2,1,1,0,0,3,6,3,0.0891136,0.0550752,29124,883,11.141,24.203
RL-01-1-v6_coordinator,RL-01-1,long_delay,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,7,0,0.1430352,0,0,0,0,33.484
RL-01-1-v6_on_demand,RL-01-1,long_delay,v6,on_demand,True,completed,True,False,2,1,1,0,0,0,4,5,1,0.0992880,0.029,15275,475,4.312,18.313
RL-01-1-v6_single,RL-01-1,long_delay,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0467424,0,0,0,0,9.422
RL-02-0-v5_coordinator,RL-02-0,alternate_delayed,v5,coordinator,True,completed,True,True,1,0,0,0,0,0,,8,0,0.1041168,0,0,0,0,37.093
RL-02-0-v5_on_demand,RL-02-0,alternate_delayed,v5,on_demand,True,completed,True,False,3,2,2,0,0,0,4,8,4,0.1312192,0.0795664,44383,891,19.281,32.032
RL-02-0-v5_single,RL-02-0,alternate_delayed,v5,single,True,completed,True,False,2,1,1,0,0,0,3,5,2,0.0688448,0.0347968,18982,461,6.765,16.938
RL-02-0-v6_coordinator,RL-02-0,alternate_delayed,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,7,0,0.1230976,0,0,0,0,32.484
RL-02-0-v6_on_demand,RL-02-0,alternate_delayed,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0718352,0,0,0,0,15.234
RL-02-0-v6_single,RL-02-0,alternate_delayed,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0473312,0,0,0,0,14.032
RL-02-1-v5_coordinator,RL-02-1,alternate_delayed,v5,coordinator,True,completed,True,True,1,0,0,0,0,0,,9,0,0.1522080,0,0,0,0,39.672
RL-02-1-v5_on_demand,RL-02-1,alternate_delayed,v5,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0479152,0,0,0,0,14.36
RL-02-1-v5_single,RL-02-1,alternate_delayed,v5,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0328560,0,0,0,0,9.312
RL-02-1-v6_coordinator,RL-02-1,alternate_delayed,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,7,0,0.1203936,0,0,0,0,31.656
RL-02-1-v6_on_demand,RL-02-1,alternate_delayed,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0639392,0,0,0,0,15.797
RL-02-1-v6_single,RL-02-1,alternate_delayed,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0462720,0,0,0,0,10.781
RL-03-0-v5_coordinator,RL-03-0,cancellation,v5,coordinator,True,completed,True,True,1,0,0,0,0,0,,7,0,0.0842608,0,0,0,0,28.906
RL-03-0-v5_on_demand,RL-03-0,cancellation,v5,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0535312,0,0,0,0,14.688
RL-03-0-v5_single,RL-03-0,cancellation,v5,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0345440,0,0,0,0,13.094
RL-03-0-v6_coordinator,RL-03-0,cancellation,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,6,0,0.1139424,0,0,0,0,24.563
RL-03-0-v6_on_demand,RL-03-0,cancellation,v6,on_demand,True,completed,True,False,2,1,1,0,0,0,4,5,1,0.0996160,0.0285232,15439,398,4.579,21.61
RL-03-0-v6_single,RL-03-0,cancellation,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0473456,0,0,0,0,12.156
RL-03-1-v5_coordinator,RL-03-1,cancellation,v5,coordinator,True,completed,True,True,1,0,0,0,1,0,,8,0,0.1116752,0,0,0,0,38.766
RL-03-1-v5_on_demand,RL-03-1,cancellation,v5,on_demand,True,completed,True,True,1,0,0,0,0,0,,5,0,0.0600704,0,0,0,0,17.828
RL-03-1-v5_single,RL-03-1,cancellation,v5,single,True,completed,True,False,3,2,1,1,0,0,3,5,2,0.0778496,0.0403648,20278,825,8.735,18.531
RL-03-1-v6_coordinator,RL-03-1,cancellation,v6,coordinator,True,completed,True,True,1,0,0,0,1,0,,8,0,0.1352752,0,0,0,0,37.531
RL-03-1-v6_on_demand,RL-03-1,cancellation,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0636624,0,0,0,0,16.078
RL-03-1-v6_single,RL-03-1,cancellation,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0466432,0,0,0,0,10.906
RL-04-0-v5_coordinator,RL-04-0,future_event,v5,coordinator,True,completed,True,True,1,0,0,0,2,0,,9,0,0.1157072,0,0,0,0,42.437
RL-04-0-v5_on_demand,RL-04-0,future_event,v5,on_demand,True,completed,True,False,2,1,1,0,0,0,3,5,2,0.0623600,0.0285904,15829,340,6.391,21.0
RL-04-0-v5_single,RL-04-0,future_event,v5,single,True,completed,True,True,1,0,0,0,0,0,,2,0,0.0204928,0,0,0,0,10.063
RL-04-0-v6_coordinator,RL-04-0,future_event,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,8,0,0.1475248,0,0,0,0,36.687
RL-04-0-v6_on_demand,RL-04-0,future_event,v6,on_demand,True,completed,True,False,2,1,1,0,0,0,3,4,1,0.0645328,0.0211952,10367,480,4.469,19.344
RL-04-0-v6_single,RL-04-0,future_event,v6,single,True,completed,True,True,1,0,0,0,0,0,,2,0,0.0255184,0,0,0,0,9.296
RL-04-1-v5_coordinator,RL-04-1,future_event,v5,coordinator,True,completed,True,True,1,0,0,0,0,0,,7,0,0.0877536,0,0,0,0,28.844
RL-04-1-v5_on_demand,RL-04-1,future_event,v5,on_demand,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0366240,0,0,0,0,13.484
RL-04-1-v5_single,RL-04-1,future_event,v5,single,True,completed,True,False,2,1,1,0,0,0,2,3,1,0.0379696,0.0163296,7896,385,4.453,13.469
RL-04-1-v6_coordinator,RL-04-1,future_event,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,6,0,0.0848960,0,0,0,0,30.719
RL-04-1-v6_on_demand,RL-04-1,future_event,v6,on_demand,True,completed,True,False,2,1,1,0,0,0,3,4,1,0.0714816,0.0236352,11778,499,5.219,17.75
RL-04-1-v6_single,RL-04-1,future_event,v6,single,True,completed,True,True,1,0,0,0,0,0,,2,0,0.0260624,0,0,0,0,9.093
RL-05-0-v5_coordinator,RL-05-0,unrelated_event,v5,coordinator,True,completed,True,True,1,0,0,0,0,0,,7,0,0.0876112,0,0,0,0,32.64
RL-05-0-v5_on_demand,RL-05-0,unrelated_event,v5,on_demand,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0372304,0,0,0,0,12.484
RL-05-0-v5_single,RL-05-0,unrelated_event,v5,single,True,completed,True,True,1,0,0,0,0,0,,2,0,0.0214496,0,0,0,0,9.562
RL-05-0-v6_coordinator,RL-05-0,unrelated_event,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,6,0,0.0891840,0,0,0,0,24.219
RL-05-0-v6_on_demand,RL-05-0,unrelated_event,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0438704,0,0,0,0,11.094
RL-05-0-v6_single,RL-05-0,unrelated_event,v6,single,True,completed,True,True,1,0,0,0,0,0,,2,0,0.0266016,0,0,0,0,8.125
RL-05-1-v5_coordinator,RL-05-1,unrelated_event,v5,coordinator,True,completed,True,True,1,0,0,0,1,0,,9,0,0.1310496,0,0,0,0,42.953
RL-05-1-v5_on_demand,RL-05-1,unrelated_event,v5,on_demand,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0344640,0,0,0,0,13.031
RL-05-1-v5_single,RL-05-1,unrelated_event,v5,single,True,completed,True,True,1,0,0,0,0,0,,2,0,0.0203792,0,0,0,0,9.109
RL-05-1-v6_coordinator,RL-05-1,unrelated_event,v6,coordinator,True,completed,True,True,1,0,0,0,1,0,,9,0,0.1607744,0,0,0,0,42.281
RL-05-1-v6_on_demand,RL-05-1,unrelated_event,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0440800,0,0,0,0,13.984
RL-05-1-v6_single,RL-05-1,unrelated_event,v6,single,True,completed,True,True,1,0,0,0,0,0,,2,0,0.0266000,0,0,0,0,8.797
RL-06-0-v5_coordinator,RL-06-0,downstream_wait,v5,coordinator,True,completed,True,False,3,2,2,0,1,0,7,11,4,0.2115552,0.1008704,53024,1670,18.187,51.609
RL-06-0-v5_on_demand,RL-06-0,downstream_wait,v5,on_demand,True,completed,True,False,3,2,1,1,0,0,4,6,2,0.1178528,0.0514496,27044,852,7.892,25.015
RL-06-0-v5_single,RL-06-0,downstream_wait,v5,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0441024,0,0,0,0,14.406
RL-06-0-v6_coordinator,RL-06-0,downstream_wait,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,8,0,0.1803744,0,0,0,0,41.516
RL-06-0-v6_on_demand,RL-06-0,downstream_wait,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0794304,0,0,0,0,16.688
RL-06-0-v6_single,RL-06-0,downstream_wait,v6,single,True,completed,True,False,2,1,1,0,0,0,3,4,1,0.0858304,0.0294784,16672,292,3.938,16.516
RL-06-1-v5_coordinator,RL-06-1,downstream_wait,v5,coordinator,True,completed,True,False,2,1,0,1,0,0,7,8,1,0.1393584,0.027408,14118,502,4.203,34.109
RL-06-1-v5_on_demand,RL-06-1,downstream_wait,v5,on_demand,True,completed,True,False,2,1,0,1,0,0,4,5,1,0.0830720,0.0228192,11946,386,7.234,25.187
RL-06-1-v5_single,RL-06-1,downstream_wait,v5,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0481136,0,0,0,0,11.438
RL-06-1-v6_coordinator,RL-06-1,downstream_wait,v6,coordinator,True,completed,True,True,1,0,0,0,1,0,,9,0,0.2088240,0,0,0,0,40.766
RL-06-1-v6_on_demand,RL-06-1,downstream_wait,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0783232,0,0,0,0,14.156
RL-06-1-v6_single,RL-06-1,downstream_wait,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0564608,0,0,0,0,11.235
RL-07-0-v5_coordinator,RL-07-0,exhausted_departures,v5,coordinator,True,completed,True,False,2,1,1,0,0,0,8,9,1,0.1758288,0.0371424,19656,593,4.75,48.594
RL-07-0-v5_on_demand,RL-07-0,exhausted_departures,v5,on_demand,True,completed,True,False,3,2,1,1,0,0,4,6,2,0.1037968,0.0454832,23333,849,8.531,25.672
RL-07-0-v5_single,RL-07-0,exhausted_departures,v5,single,True,completed,True,False,2,1,1,0,0,0,3,4,1,0.0625392,0.0210512,11003,359,3.844,17.235
RL-07-0-v6_coordinator,RL-07-0,exhausted_departures,v6,coordinator,True,completed,True,True,1,0,0,0,1,0,,7,0,0.1244544,0,0,0,0,31.828
RL-07-0-v6_on_demand,RL-07-0,exhausted_departures,v6,on_demand,True,completed,True,False,2,1,1,0,0,0,4,5,1,0.1057696,0.030112,15970,475,6.375,21.969
RL-07-0-v6_single,RL-07-0,exhausted_departures,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0509664,0,0,0,0,14.281
RL-07-1-v5_coordinator,RL-07-1,exhausted_departures,v5,coordinator,True,completed,True,True,1,0,0,0,0,0,,8,0,0.1105760,0,0,0,0,45.594
RL-07-1-v5_on_demand,RL-07-1,exhausted_departures,v5,on_demand,True,completed,True,False,2,1,1,0,0,0,4,6,2,0.0905616,0.0383440,21427,423,9.437,28.187
RL-07-1-v5_single,RL-07-1,exhausted_departures,v5,single,True,completed,True,False,2,1,1,0,0,0,3,4,1,0.0631424,0.0219808,10786,492,5.296,20.828
RL-07-1-v6_coordinator,RL-07-1,exhausted_departures,v6,coordinator,True,completed,True,False,2,1,1,0,0,0,6,7,1,0.1498304,0.0328528,17629,484,4.578,37.218
RL-07-1-v6_on_demand,RL-07-1,exhausted_departures,v6,on_demand,True,completed,True,False,2,1,1,0,0,0,4,5,1,0.0952832,0.0268656,14325,411,4.938,22.671
RL-07-1-v6_single,RL-07-1,exhausted_departures,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0493472,0,0,0,0,13.907
RL-08-0-v5_coordinator,RL-08-0,second_revision,v5,coordinator,True,completed,True,True,1,0,0,0,0,0,,9,0,0.1760752,0,0,0,0,40.515
RL-08-0-v5_on_demand,RL-08-0,second_revision,v5,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0492512,0,0,0,0,15.922
RL-08-0-v5_single,RL-08-0,second_revision,v5,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0347712,0,0,0,0,11.516
RL-08-0-v6_coordinator,RL-08-0,second_revision,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,6,0,0.1097904,0,0,0,0,35.984
RL-08-0-v6_on_demand,RL-08-0,second_revision,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0675904,0,0,0,0,15.375
RL-08-0-v6_single,RL-08-0,second_revision,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0457744,0,0,0,0,14.969
RL-08-1-v5_coordinator,RL-08-1,second_revision,v5,coordinator,True,completed,True,True,1,0,0,0,0,0,,8,0,0.1081792,0,0,0,0,36.766
RL-08-1-v5_on_demand,RL-08-1,second_revision,v5,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0548656,0,0,0,0,17.157
RL-08-1-v5_single,RL-08-1,second_revision,v5,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0389456,0,0,0,0,10.063
RL-08-1-v6_coordinator,RL-08-1,second_revision,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,7,0,0.1212448,0,0,0,0,31.703
RL-08-1-v6_on_demand,RL-08-1,second_revision,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0610960,0,0,0,0,15.172
RL-08-1-v6_single,RL-08-1,second_revision,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0449232,0,0,0,0,14.281
RL-09-0-v5_coordinator,RL-09-0,approved_variant,v5,coordinator,True,completed,True,True,1,0,0,0,1,0,,10,0,0.1917920,0,0,0,0,49.172
RL-09-0-v5_on_demand,RL-09-0,approved_variant,v5,on_demand,True,completed,True,False,2,1,1,0,0,0,4,6,2,0.0906608,0.0388592,21779,418,6.5,21.297
RL-09-0-v5_single,RL-09-0,approved_variant,v5,single,True,completed,True,False,3,2,2,0,0,0,3,6,3,0.0969200,0.0596368,32815,743,10.249,21.172
RL-09-0-v6_coordinator,RL-09-0,approved_variant,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,8,0,0.1577968,0,0,0,0,47.219
RL-09-0-v6_on_demand,RL-09-0,approved_variant,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0685552,0,0,0,0,17.984
RL-09-0-v6_single,RL-09-0,approved_variant,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0498528,0,0,0,0,11.438
RL-09-1-v5_coordinator,RL-09-1,approved_variant,v5,coordinator,False,call_limit,False,False,3,3,2,1,0,1,8,12,4,0.2121792,0.1021248,56118,1285,16.39,57.688
RL-09-1-v5_on_demand,RL-09-1,approved_variant,v5,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0504112,0,0,0,0,13.75
RL-09-1-v5_single,RL-09-1,approved_variant,v5,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0372800,0,0,0,0,12.609
RL-09-1-v6_coordinator,RL-09-1,approved_variant,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,8,0,0.1598464,0,0,0,0,41.094
RL-09-1-v6_on_demand,RL-09-1,approved_variant,v6,on_demand,True,completed,True,False,2,1,0,1,0,0,4,5,1,0.0968096,0.0277584,14877,412,4.36,21.297
RL-09-1-v6_single,RL-09-1,approved_variant,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0496864,0,0,0,0,13.703
RL-10-0-v5_coordinator,RL-10-0,mixed_pack_revision,v5,coordinator,True,completed,True,True,1,0,0,0,1,0,,9,0,0.1577744,0,0,0,0,43.297
RL-10-0-v5_on_demand,RL-10-0,mixed_pack_revision,v5,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0669472,0,0,0,0,14.735
RL-10-0-v5_single,RL-10-0,mixed_pack_revision,v5,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0482608,0,0,0,0,12.313
RL-10-0-v6_coordinator,RL-10-0,mixed_pack_revision,v6,coordinator,True,completed,True,True,1,0,0,0,1,0,,8,0,0.2006384,0,0,0,0,41.031
RL-10-0-v6_on_demand,RL-10-0,mixed_pack_revision,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0789872,0,0,0,0,14.562
RL-10-0-v6_single,RL-10-0,mixed_pack_revision,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0568304,0,0,0,0,13.89
RL-10-1-v5_coordinator,RL-10-1,mixed_pack_revision,v5,coordinator,True,completed,True,False,3,2,1,1,0,0,7,9,2,0.1862112,0.0596272,30859,1068,10.874,44.11
RL-10-1-v5_on_demand,RL-10-1,mixed_pack_revision,v5,on_demand,True,completed,True,False,2,1,1,0,0,0,4,6,2,0.1050368,0.0448672,25594,408,7.484,21.844
RL-10-1-v5_single,RL-10-1,mixed_pack_revision,v5,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0432208,0,0,0,0,11.328
RL-10-1-v6_coordinator,RL-10-1,mixed_pack_revision,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,7,0,0.1468480,0,0,0,0,33.593
RL-10-1-v6_on_demand,RL-10-1,mixed_pack_revision,v6,on_demand,True,completed,True,False,3,2,2,0,0,0,4,6,2,0.1440704,0.0638592,35466,741,10.673,27.954
RL-10-1-v6_single,RL-10-1,mixed_pack_revision,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0564000,0,0,0,0,11.375
RL-11-0-v5_coordinator,RL-11-0,read_only_control,v5,coordinator,True,completed,True,False,2,1,1,0,0,0,4,5,1,0.0441920,0.0117696,5196,360,6.531,25.469
RL-11-0-v5_on_demand,RL-11-0,read_only_control,v5,on_demand,True,completed,True,False,2,1,1,0,0,0,3,4,1,0.0347072,0.0111536,4805,361,6.187,17.375
RL-11-0-v5_single,RL-11-0,read_only_control,v5,single,True,completed,True,True,1,0,0,0,0,0,,2,0,0.0148944,0,0,0,0,7.031
RL-11-0-v6_coordinator,RL-11-0,read_only_control,v6,coordinator,True,completed,True,False,2,1,1,0,0,0,4,5,1,0.0545984,0.0146912,7256,321,3.39,18.454
RL-11-0-v6_on_demand,RL-11-0,read_only_control,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,2,0,0.0179568,0,0,0,0,6.813
RL-11-0-v6_single,RL-11-0,read_only_control,v6,single,True,completed,True,False,2,1,1,0,0,0,1,2,1,0.0189952,0.0095584,3910,344,5.968,11.063
RL-11-1-v5_coordinator,RL-11-1,read_only_control,v5,coordinator,True,completed,True,False,2,1,1,0,0,0,4,7,3,0.0649248,0.0329376,15114,912,12.453,27.891
RL-11-1-v5_on_demand,RL-11-1,read_only_control,v5,on_demand,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0261744,0,0,0,0,11.281
RL-11-1-v5_single,RL-11-1,read_only_control,v5,single,True,completed,True,True,1,0,0,0,0,0,,2,0,0.0147136,0,0,0,0,8.813
RL-11-1-v6_coordinator,RL-11-1,read_only_control,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0353776,0,0,0,0,16.469
RL-11-1-v6_on_demand,RL-11-1,read_only_control,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0254256,0,0,0,0,9.25
RL-11-1-v6_single,RL-11-1,read_only_control,v6,single,True,completed,True,True,1,0,0,0,0,0,,2,0,0.0161648,0,0,0,0,7.641
